sample_idx,orient_idx,setpoint,wall_r,roof_r,fr1_kh,fr2_kwh,fr1_SPACE1-1_kh,fr1_SPACE2-1_kh,fr1_SPACE3-1_kh,fr1_SPACE4-1_kh,fr1_SPACE5-1_kh
140,1,24.16955458186567,2.2141846995800734,3.8359913900494576,2934.9786637233724,62611.16,450.06093797029916,1164.0912846457395,1006.2205219109311,314.22918823537435,0.3767309610285059
141,1,24.232604157179594,1.580007590353489,3.8359913900494576,3055.2571112802157,63475.05,481.0278294771287,1193.8915127999528,1045.922756145605,333.99715358764297,0.4178592698856676
142,1,24.232604157179594,2.2141846995800734,3.416939546354115,2882.4383553642188,62905.61,447.05202231007263,1132.6778343668138,992.3181216230423,309.90316437806763,0.4872126862221764
143,0,24.16955458186567,1.580007590353489,3.416939546354115,2732.5977707511724,63175.05,288.4874662216452,1043.0790288683254,312.7645885841559,1087.3966241676292,0.8700629094171051
144,1,25.765690465457737,1.4472964387387037,2.5395839903503656,1389.2422416498443,64386.16,199.47710058795514,568.3731642158766,552.6355537839421,68.7564230620706,0.0
145,2,25.765690465457737,1.4472964387387037,2.5395839903503656,1840.7278095504003,64016.72,32.283752880333324,706.2492130739842,549.526102929726,552.6687406663568,0.0
146,1,23.972623127512634,1.4472964387387037,2.5395839903503656,3845.5735459187867,65333.39,649.1737421698597,1439.8782331834825,1237.0175306483022,493.63926346051494,25.864776456627606
147,1,25.765690465457737,1.332105552777648,2.5395839903503656,1435.097996827701,64666.72,208.1360355614823,586.0720022614302,567.5920209947725,73.29793801001608,0.0
148,1,25.765690465457737,1.4472964387387037,3.139256308786571,1314.7059862343826,63613.94,181.39219565351067,540.4685958878027,536.7125737020225,56.13262099104673,0.0
149,2,23.972623127512634,1.332105552777648,3.139256308786571,4283.184354984789,64416.72,308.2076009430144,1317.2014825287017,1383.6687629683374,1251.5053262518034,22.601182292931888
150,3,23.336561891250312,2.021525038406253,2.314606612548232,5134.379152908273,65133.39,787.0443408350062,725.9519320176668,1545.029380107706,1889.240514101593,187.11298584630092
151,1,23.336561891250312,2.021525038406253,2.314606612548232,5204.614159511734,65125.05,868.8058441865571,1916.1220756025662,1515.8312264988995,736.1302289226077,167.72478430110408
152,3,25.86113477218896,2.021525038406253,2.314606612548232,1189.45347354761,63636.16,47.10098999279071,52.11312401577845,620.9201671619421,469.31919237709866,0.0
153,3,23.336561891250312,2.2235836628824472,2.314606612548232,5063.575300854239,64888.94,770.6593958206395,713.2425765220995,1525.8495485708283,1870.0951120608324,183.72866787983904
154,3,23.336561891250312,2.021525038406253,2.3746191086247563,5111.244479501834,65022.27,782.5885303899952,720.7189429312948,1538.743250322708,1885.8747049951392,183.3190508626965
